2026-09-25 18:59:52 INFO    rotinas.execucao: Teste 'stories-ensaio' começou. Pasta: C:\Users\V15\Documents\Rotinas Ferreira\sistema\execucoes\2026-09-25_1859_stories-ensaio
2026-09-25 18:59:54 INFO    rotinas.stories.bluestacks: Ensaio com a letra de teste gerada em C:\Users\V15\Documents\Rotinas Ferreira\stories\_teste\2026-09-25_1859
2026-09-25 18:59:54 INFO    rotinas.stories.android: adb usado nesta execução: C:\Program Files\BlueStacks_nxt\HD-Adb.exe
2026-09-25 18:59:54 INFO    rotinas.stories.android: Conectado ao BlueStacks em 127.0.0.1:5555
2026-09-25 18:59:54 INFO    rotinas.stories.bluestacks: BlueStacks: {'serial': '127.0.0.1:5555', 'adb': 'C:\\Program Files\\BlueStacks_nxt\\HD-Adb.exe', 'android': '9', 'sdk': '28', 'modelo': 'SM-S908E', 'tela': 'Physical size: 1600x900', 'densidade': 'Physical density: 240\nOverride density: 320', 'instagram': '448.0.0.52.84'}
2026-09-25 18:59:55 INFO    rotinas.stories.bluestacks: Postando 1 letra(s) de 2000-01-01 em modo ENSAIO
2026-09-25 18:59:55 INFO    rotinas.stories.bluestacks: Letra T: enviar midias
2026-09-25 18:59:56 INFO    rotinas.stories.android: Enviando 3 mídia(s) da letra T para a galeria do BlueStacks (/sdcard/Pictures/RotinasFerreira/2000-01-01_T)
2026-09-25 18:59:56 INFO    rotinas.stories.android: Varredura da galeria que funcionou: broadcast
2026-09-25 19:00:01 INFO    rotinas.stories.android: Letra T na galeria: 3 de 3 mídia(s), na ordem
2026-09-25 19:00:01 INFO    rotinas.stories.bluestacks: Letra T: abrir instagram
2026-09-25 19:00:04 INFO    rotinas.stories.bluestacks: Letra T: criar
2026-09-25 19:00:06 INFO    rotinas.stories.bluestacks: Letra T: 'Adicionar ao story' abriu direto a galeria/câmera (sem escolher 'Story')
2026-09-25 19:00:06 INFO    rotinas.stories.bluestacks: Letra T: abrir galeria
2026-09-25 19:00:06 INFO    rotinas.stories.bluestacks: Letra T: escolher album
2026-09-25 19:00:12 INFO    rotinas.stories.bluestacks: Letra T: selecionar varios
2026-09-25 19:00:13 INFO    rotinas.stories.bluestacks: Letra T: tocar midias
2026-09-25 19:00:19 INFO    rotinas.stories.bluestacks: Letra T: a mídia 1 ainda não aparece selecionada; tocando de novo
2026-09-25 19:00:24 INFO    rotinas.stories.bluestacks: Letra T: a mídia 1 ainda não aparece selecionada; tocando de novo
2026-09-25 19:00:29 INFO    rotinas.stories.bluestacks: Letra T: a mídia 1 ainda não aparece selecionada; tocando de novo
2026-09-25 19:00:29 ERROR   rotinas.stories.bluestacks: Letra T falhou no passo 'tocar_midias': a mídia 1 da letra não ficou selecionada depois de 3 toques (miniatura ainda carregando?); não publico letra pela metade
2026-09-25 19:00:31 ERROR   rotinas.execucao: Teste 'stories-ensaio' terminou com erro: Parei na letra T (passo 'tocar_midias'): a mídia 1 da letra não ficou selecionada depois de 3 toques (miniatura ainda carregando?); não publico letra pela metade Publicadas antes: nenhuma. Não iniciadas: nenhuma.
